Table,OldName,NewName,Type,Required,Nullable,Auto,Default,Description
,W_CODE,WarehouseCode,"""NUMBER(10,0)""",نعم,لا,لا,,الرقم التعريفي للمستودع.
,W_NAME,WarehouseName,VARCHAR2(100),نعم,لا,لا,,اسم المستودع بالعربي.
,W_E_NAME,WarehouseEName,VARCHAR2(100),لا,نعم,لا,,اسم المستودع بالإنجليزي.
,LOCATION,Location,VARCHAR2(100),لا,نعم,لا,,العنوان الجغرافي أو الإداري للمستودع.
,TEL_NO,TelNo,VARCHAR2(30),لا,نعم,لا,,رقم هاتف المستودع.
,INACTIVE,Inactive,"""NUMBER(1,0)""",لا,نعم,لا,,علم يحدد إن كان المستودع غير نشط (1=نعم).
,WH_KEEPER,WarehouseKeeper,VARCHAR2(100),لا,نعم,لا,,اسم أمين المستودع.
,WHG_CODE,WarehouseGroupCode,"""NUMBER(10,0)""",لا,نعم,لا,,كود مجموعة المستودعات التابع لها المستودع.
,W_TYPE,WarehouseType,"""NUMBER(1,0)""",لا,نعم,لا,,نوع المستودع (رئيسي/فرعي/خدمي).
,USE_BOE,UseBOE,"""NUMBER(1,0)""",لا,نعم,لا,,استخدام إذن التخزين (1=يستخدم).
,NO_SALE,NoSale,"""NUMBER(1,0)""",لا,نعم,لا,,يمنع البيع من المستودع (1=نعم).
,CHK_AVL_QTY,CheckAvailableQty,"""NUMBER(1,0)""",لا,نعم,لا,,التحقق من الكمية المتاحة قبل العمليات.
,TR_A_CODE,TransferAccountCode,VARCHAR2(30),لا,نعم,لا,,كود الحساب المستخدم في التحويلات.
,CC_CODE,CostCenterCode,VARCHAR2(30),لا,نعم,لا,,مركز التكلفة الافتراضي للمستودع.
,CNTRY_NO,CountryNo,"""NUMBER(4,0)""",لا,نعم,لا,,رقم الدولة التي يتبع لها المستودع.
,GPS,GPS,VARCHAR2(100),لا,نعم,لا,,إحداثيات GPS الخاصة بالموقع.
,PROV_NO,ProvinceNo,"""NUMBER(10,0)""",لا,نعم,لا,,رقم المحافظة أو المنطقة.
,CITY_NO,CityNo,"""NUMBER(10,0)""",لا,نعم,لا,,رقم المدينة.
,R_CODE,RegionCode,"""NUMBER(10,0)""",لا,نعم,لا,,رقم المنطقة أو الحي.
,W_SER,WarehouseSerial,"""NUMBER(5,0)""",لا,نعم,لا,,رقم تسلسلي داخلي للمستودع.
,CONN_BRN_NO,ConnectedBranchNo,"""NUMBER(6,0)""",لا,نعم,لا,,رقم الفرع المتصل بالمستودع.
,ACTIVITY_NO,ActivityNo,"""NUMBER(5,0)""",لا,نعم,لا,,رقم النشاط المرتبط بالمستودع.
,MAIN_WCODE,MainWarehouseCode,NUMBER,لا,نعم,لا,,كود المستودع الرئيسي (إذا كان فرعيًا).
,DB_LINK_NAME,DBLinkName,VARCHAR2(250),لا,نعم,لا,,اسم الربط بقاعدة بيانات أخرى (إن وجد).
,USE_AUTO_REC_WHTRNS,UseAutoRecWHTrans,"""NUMBER(1,0)""",لا,نعم,لا,,استقبال التحويلات تلقائيا (1=نعم).
,PRICE_LVL,PriceLevel,"""NUMBER(3,0)""",لا,نعم,لا,,مستوى التسعير الافتراضي للمستودع.
